_id,isGoodSong,repetitionScore
61469c77d40cbdf2d90bce0b,1,0.504834643
61469c77d40cbdf2d90bce0c,1,0.506725142
61469c77d40cbdf2d90bce0d,1,0.486419967
61469c77d40cbdf2d90bce0e,1,0.541022813
61469c77d40cbdf2d90bce0f,1,0.47213245
61469c77d40cbdf2d90bce10,1,0.470397957
61469c77d40cbdf2d90bce11,1,0.473105769
61469c78d40cbdf2d90bce12,1,0.525269831
61469c78d40cbdf2d90bce13,1,0.5186266
61469c78d40cbdf2d90bce14,1,0.539938357
61469c78d40cbdf2d90bce15,1,0.457526485
61469c78d40cbdf2d90bce16,1,0.481391394
61469c78d40cbdf2d90bce17,1,0.270310072
61469c78d40cbdf2d90bce18,1,0.510259444
61469c78d40cbdf2d90bce19,1,0.462259675
61469c78d40cbdf2d90bce1a,1,0.491145826
61469c78d40cbdf2d90bce1b,1,0.514147003
61469c78d40cbdf2d90bce1c,1,0.474172186
61469c78d40cbdf2d90bce1d,1,0.514031424
61469c78d40cbdf2d90bce1e,1,0.430019235
61469c78d40cbdf2d90bce1f,1,0.507642134
61469c78d40cbdf2d90bce20,1,0.519097775
61469c78d40cbdf2d90bce21,1,0.504129807
61469c78d40cbdf2d90bce22,1,0.446981014
61469c79d40cbdf2d90bce23,1,0.513703883
61469c79d40cbdf2d90bce24,1,0.47232807
61469c79d40cbdf2d90bce25,1,0.465687819
61469c79d40cbdf2d90bce26,1,0.496858849
61469c79d40cbdf2d90bce27,1,0.496996695
61469c79d40cbdf2d90bce28,1,0.385191853
61469c79d40cbdf2d90bce29,1,0.465876886
61469c79d40cbdf2d90bce2a,1,0.493283726
61469c79d40cbdf2d90bce2b,1,0.493751379
61469c79d40cbdf2d90bce2c,1,0.45862424
61469c79d40cbdf2d90bce2d,1,0.525210533
61469c79d40cbdf2d90bce2e,1,0.565932679
61469c79d40cbdf2d90bce2f,1,0.466469535
61469c79d40cbdf2d90bce30,1,0.510734981
61469c79d40cbdf2d90bce31,1,0.495725411
61469c79d40cbdf2d90bce32,1,0.50223955
61469c79d40cbdf2d90bce33,1,0.479018875
61469c79d40cbdf2d90bce34,1,0.460682219
61469c79d40cbdf2d90bce35,1,0.480924079
61469c79d40cbdf2d90bce36,1,0.460787906
61469c7ad40cbdf2d90bce37,1,0.515225855
61469c7ad40cbdf2d90bce38,1,0.500899934
61469c7ad40cbdf2d90bce39,1,0.468015218
61469c7ad40cbdf2d90bce3a,1,0.476438252
61469c7ad40cbdf2d90bce3b,1,0.463096944
61469c7ad40cbdf2d90bce3c,1,0.520819287
61469c7ad40cbdf2d90bce3d,1,0.539570693
61469c7ad40cbdf2d90bce3e,1,0.513703883
61469c7ad40cbdf2d90bce3f,1,0.513269718
61469c7bd40cbdf2d90bce40,1,0.483317787
61469c7bd40cbdf2d90bce41,1,0.531241493
61469c7bd40cbdf2d90bce42,1,0.490681385
61469c7bd40cbdf2d90bce43,1,0.481824403
